id,name,numReviews,avgReviewScore,price,genres,tags,description,numFollowers
"400","Portal","134994","99","9.99","['Action']","['Puzzle', 'Puzzle Platformer', 'First-Person', '3D Platformer', 'Singleplayer', 'Sci-fi', 'Comedy', 'Female Protagonist', 'Physics', 'Funny', 'Action', 'Story Rich', 'Classic', 'Platformer', 'Science', 'Atmospheric', 'Dark Humor', 'FPS', 'Short', 'Adventure']","Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.","141099"
"17410","Mirror's Edge","34054","88","19.99","['Action', 'Adventure']","['Action-Adventure', 'Parkour', 'First-Person', 'Exploration', '3D Platformer', 'Female Protagonist', 'Singleplayer', 'Platformer', 'Puzzle', 'Cyberpunk', 'Action', 'Colorful', 'Dystopian', 'Stylized', 'Atmospheric', 'Sci-fi', 'Adventure', 'Futuristic', 'Great Soundtrack', 'Time Attack']","In a city where information is heavily monitored, couriers called Runners transport sensitive data. In this seemingly utopian paradise, a crime has been committed, & you are being hunted. You are a Runner called Faith and this innovative first-person action-adventure is your story.","42819"
"70110","Hacker Evolution - Untold","393","59","0.99","['Indie', 'Simulation']","['Simulation', 'Indie', 'Hacking', 'Singleplayer']","When the number of computers in existence and their processing capacity exceeds that of all mankind, a point of technological singularity is encountered. A massive economic and systematic crisis hits the entire world. Nobody knows the exact cause, and all solutions to fix it, are failing.","627"
"620","Portal 2","349433","99","9.99","['Action', 'Adventure']","['Platformer', 'Puzzle', 'Dark Humor', 'First-Person', 'Story Rich', 'Puzzle Platformer', 'Funny', 'Female Protagonist', '3D Platformer', 'Action-Adventure', 'Action', 'FPS', 'Co-op', 'Physics', 'Sci-fi', 'Level Editor', 'Science', 'Comedy', 'Atmospheric', 'Adventure']","The ""Perpetual Testing Initiative"" has been expanded to allow you to design co-op puzzles for you and your friends!","335853"
"204360","Castle Crashers","100629","96","14.99","['Action', 'Adventure', 'Casual', 'Indie', 'RPG']","['2D', 'Online Co-Op', 'Co-op', ""Beat 'em up"", 'Hack and Slash', 'Funny', 'Adventure', '4 Player Local', 'Local Co-Op', 'Multiplayer', 'Local Multiplayer', 'Action', 'Singleplayer', 'Medieval', 'Cartoony', 'Cute', 'Comedy', 'RPG', 'Arcade', 'Casual']","Hack, slash, and smash your way to victory in this award winning 2D arcade adventure from The Behemoth!","174976"
"8930","Sid Meier's Civilization V","192206","96","29.99","['Strategy']","['Turn-Based Strategy', 'Strategy', 'Turn-Based', 'Multiplayer', 'Historical', '4X', 'Addictive', 'Singleplayer', 'Hex Grid', 'Grand Strategy', 'Replay Value', 'Co-op', 'Economy', 'Tactical', 'Diplomacy', 'Moddable', 'Simulation', 'Classic', 'Great Soundtrack', 'Touch-Friendly']","Create, discover, and download new player-created maps, scenarios, interfaces, and more!","183597"
"70100","Hacker Evolution","973","66","0.99","['Simulation']","['Simulation', 'Hacking', 'Puzzle', 'Singleplayer', 'Text-Based', 'Strategy', 'Cyberpunk', 'Difficult', 'Indie', 'Action', 'Education', 'Exploration', 'Immersive Sim', 'Typing', '2D', 'Minimalist', 'Funny', 'Tactical', 'Time Management', 'Anime']","Hacker Evolution is a hacking simulation game, featuring unparalleled graphics and features. You play the role of a former intelligence agent, specializing in computer security. When a chain of events sets off worldwide, leaving critical service disabled, you assume the role a computer hacker to find out what happened and attempt to stop...","1253"
"105600","Terraria","1156875","98","9.99","['Action', 'Adventure', 'Indie', 'RPG']","['Open World Survival Craft', 'Sandbox', 'Survival', '2D', 'Multiplayer', 'Adventure', 'Pixel Graphics', 'Crafting', 'Building', 'Exploration', 'Co-op', 'Open World', 'Online Co-Op', 'Indie', 'Action', 'RPG', 'Singleplayer', 'Replay Value', 'Platformer', 'Atmospheric']","Dig, fight, explore, build! Nothing is impossible in this action-packed adventure game. Four Pack also available!","796554"
"205100","Dishonored","73783","98","9.99","['Action', 'Adventure']","['Stealth', 'First-Person', 'Assassin', 'Action', 'Steampunk', 'Singleplayer', 'Atmospheric', 'Story Rich', 'Multiple Endings', 'Adventure', 'Dark', 'Magic', 'Dystopian', 'FPS', 'RPG', 'Replay Value', 'Immersive Sim', 'Fantasy', 'Open World', 'Shooter']","Dishonored is an immersive first-person action game that casts you as a supernatural assassin driven by revenge. With Dishonored’s flexible combat system, creatively eliminate your targets as you combine the supernatural abilities, weapons and unusual gadgets at your disposal.","90925"
"99900","Spiral Knights","23249","84","0","['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie', 'Massively Multiplayer', 'RPG']","['Free to Play', 'Massively Multiplayer', 'RPG', 'Adventure', 'Action', 'Multiplayer', 'Online Co-Op', 'Dungeon Crawler', 'Hack and Slash', 'Co-op', 'MMORPG', 'Cute', 'Great Soundtrack', 'Action RPG', 'Sci-fi', 'Open World', 'Casual', 'Singleplayer', 'Indie', 'Anime']","Join the ranks of the Spiral Knights. Stranded on an alien world, you must explore the ever-changing Clockworks beneath its surface.","38321"
